Address,Parcel ID,Final Sale Price,Closing Date,Sale Status,Buyer Status,Purchaser Type,Program,Council District,Neighborhood,Latitude,Longitude,Location
6899 Vaughan,22098649.,1000.00,08/24/2016,Closed,Selected,Homebuyer,Auction,7,Warrendale,42.342303,-83.236924,"location
(42.342303, -83.236924)"
16626 Inverness,08009801.,1000.00,05/26/2017,Closed,Selected,Homebuyer,Auction,2,Martin Park,42.414455,-83.122614,"location
(42.414455, -83.122614)"
12555 Moran,09009163.,13300.00,05/26/2017,Closed,Selected,Homebuyer,Auction,3,Campau/Banglatown,42.41148,-83.060277,"location
(42.41148, -83.060277)"
13234 Klinger,09009268.,16300.00,07/28/2017,Closed,Selected,Homebuyer,Auction,3,Campau/Banglatown,42.414102,-83.062547,"location
(42.414102, -83.062547)"
13238 Mitchell,09010820-1,9550.00,06/19/2017,Closed,Selected,Homebuyer,Auction,3,Campau/Banglatown,42.412617,-83.066563,"location
(42.412617, -83.066563)"
3229 Ewald Circle,16023918-9,7550.00,11/28/2017,Closed,Selected,Investor,Auction,7,Oakman Blvd Community,42.383637,-83.144902,"location
(42.383637, -83.144902)"
8915 Meyers,22020684.,1000.00,12/07/2017,Closed,Selected,,Auction,7,Barton-McFarland,42.360356,-83.168124,"location
(42.360356, -83.168124)"
11385 Braile,22105888.,4900.00,01/30/2018,Closed,Selected,,Auction,7,Franklin Park,42.370749,-83.244041,"location
(42.370749, -83.244041)"
11384 Pierson,22106314.,8000.00,02/06/2018,Closed,Selected,,Auction,7,Franklin Park,42.370743,-83.244562,"location
(42.370743, -83.244562)"
4858 Oakman Blvd,18016361.,3400.00,06/22/2018,Closed,Selected,,Auction,7,Barton-McFarland,42.365438,-83.154485,"location
(42.365438, -83.154485)"
8984 Birwood,18016907.,1000.00,02/16/2018,Closed,Selected,Homebuyer,Auction,7,Barton-McFarland,42.361032,-83.162565,"location
(42.361032, -83.162565)"
8950 Dawes,18017940.,5600.00,01/23/2018,Closed,Selected,Investor,Auction,7,Barton-McFarland,42.360687,-83.156855,"location
(42.360687, -83.156855)"
17242 Beland,17015242.,4600.00,05/23/2017,Closed,Selected,Homebuyer,Auction,3,Mount Olivet,42.42192,-83.008682,"location
(42.42192, -83.008682)"
15445 Auburn,22092605.,8600.00,06/18/2018,Closed,Selected,,Auction,1,Minock Park,42.402813,-83.235381,"location
(42.402813, -83.235381)"
11070 Lakepointe,21064816.,1000.00,09/20/2017,Closed,Selected,Homebuyer,Auction,4,Yorkshire Woods,42.419928,-82.95146,"location
(42.419928, -82.95146)"
