Address,Parcel ID,Council_District,Commercial Building,Latitude,Longitude,Location,Neighborhood
5687 Addison St,20010946.,6,No,42.332125,-83.152734,"location
(42.332125, -83.152734)",Claytown
18940 Teppert,17014971.,3,No,42.433153,-83.007949,"location
(42.433153, -83.007949)",Von Steuben
20466 Carrie,15008359.,3,No,42.446983,-83.030505,"location
(42.446983, -83.030505)",Sherwood
8400 Faust,22078485.,7,No,42.354392,-83.220847,"location
(42.354392, -83.220847)",Warrendale
15634 Inverness,08009741.,2,No,42.407382,-83.122275,"location
(42.407382, -83.122275)",Pilgrim Village
4187 Algonquin,21047050.,4,No,42.38531,-82.966717,"location
(42.38531, -82.966717)",Fox Creek
11719 Camden,21005848.,4,No,42.399769,-82.988175,"location
(42.399769, -82.988175)",Ravendale
11415 Camden,21005844.,4,No,42.399536,-82.988869,"location
(42.399536, -82.988869)",Ravendale
11406 Camden,21005819.,4,No,42.399075,-82.988714,"location
(42.399075, -82.988714)",Ravendale
19151 Shields,13019331-2,3,No,42.433997,-83.060124,"location
(42.433997, -83.060124)",Farwell
11392 Camden,21005821.,4,No,42.398998,-82.988951,"location
(42.398998, -82.988951)",Ravendale
8208 House,17005223.,3,No,42.43468,-83.019944,"location
(42.43468, -83.019944)",Nortown
8028 Smart,20009762.,6,No,42.338946,-83.147325,"location
(42.338946, -83.147325)",Claytown
6092 Beniteau,21043341.,4,No,42.395895,-82.990438,"location
(42.395895, -82.990438)",Airport Sub
5254 Elmer,20008775.,6,No,42.332901,-83.14316,"location
(42.332901, -83.14316)",Claytown
8064 Vaughan,22097377.,7,No,42.351347,-83.236548,"location
(42.351347, -83.236548)",Warrendale
8083 Vaughan,22098590.022,7,No,42.351573,-83.237269,"location
(42.351573, -83.237269)",Warrendale
8105 Vaughan,22098590.019,7,No,42.351882,-83.237284,"location
(42.351882, -83.237284)",Warrendale
8210 Vaughan,22097385.,7,No,42.352351,-83.236593,"location
(42.352351, -83.236593)",Warrendale
13997 Dacosta,22115991.,1,No,42.387351,-83.260446,"location
(42.387351, -83.260446)",Brightmoor
7701 Concord,15011529-30,3,No,42.387091,-83.03121,"location
(42.387091, -83.03121)",Airport Sub
3694 E Kirby,13003142.,5,No,42.373006,-83.030498,"location
(42.373006, -83.030498)",Poletown East
8508 Vaughan,22097416.,7,No,42.355482,-83.236741,"location
(42.355482, -83.236741)",Warrendale
13030 Maiden,21006429.,4,No,42.405778,-82.974511,"location
(42.405778, -82.974511)",Outer Drive-Hayes
5420 Martin,18011024.,6,No,42.337311,-83.131561,"location
(42.337311, -83.131561)",Claytown
6358 Majestic,18004562.,6,No,42.349673,-83.135403,"location
(42.349673, -83.135403)",Midwest
5891 Hurlbut,19004615.,4,No,42.390186,-83.001065,"location
(42.390186, -83.001065)",West End
2038 Gladstone,08002448.,5,No,42.3733,-83.100441,"location
(42.3733, -83.100441)",North LaSalle
18054 Dresden,21034671.,3,No,42.428193,-82.999158,"location
(42.428193, -82.999158)",Von Steuben
6036 Hartford,14011385.,6,No,42.348577,-83.112974,"location
(42.348577, -83.112974)",Midwest
12301 Greiner,21020463.,3,No,42.427612,-82.999287,"location
(42.427612, -82.999287)",Von Steuben
6572 Sanger,18013823.,6,No,42.341106,-83.148401,"location
(42.341106, -83.148401)",Claytown
13927 Rockdale,22114517-9,1,No,42.386377,-83.25799,"location
(42.386377, -83.25799)",Brightmoor
2260 Gladstone,10002105.,5,No,42.372501,-83.102588,"location
(42.372501, -83.102588)",North LaSalle
4823 Springle,21047730.,4,No,42.390364,-82.968626,"location
(42.390364, -82.968626)",Fox Creek
8495 Auburn,22092876.,7,No,42.355326,-83.233773,"location
(42.355326, -83.233773)",Warrendale
8058 Sarena,18003893-4,6,No,42.342524,-83.148513,"location
(42.342524, -83.148513)",Claytown
19953 Strasburg,21034376.,3,No,42.443037,-82.999277,"location
(42.443037, -82.999277)",Conner Creek
8309 Auburn,22092890.,7,No,42.353753,-83.233716,"location
(42.353753, -83.233716)",Warrendale
8303 Plainview,22094726.,7,No,42.353653,-83.234896,"location
(42.353653, -83.234896)",Warrendale
6524 Mcdonald,18013735.,6,No,42.340702,-83.147436,"location
(42.340702, -83.147436)",Claytown
8090 Plainview,22093659.,7,No,42.351718,-83.234118,"location
(42.351718, -83.234118)",Warrendale
5309 Mcdougall,11002015.,5,No,42.369793,-83.037754,"location
(42.369793, -83.037754)",Poletown East
6533 Central,18009981.,6,No,42.341711,-83.145729,"location
(42.341711, -83.145729)",Claytown
14314 Maiden,21006374.,4,No,42.408163,-82.967553,"location
(42.408163, -82.967553)",Outer Drive-Hayes
