Address,Parcel ID,Final Sale Price,Closing Date,Sale Status,Buyer Status,Purchaser Type,Program,Council District,Neighborhood,Latitude,Longitude,Location
20499 Grandview,22124208.,1000.00,04/05/2017,Closed,Selected,Homebuyer,Own It Now,1,Five Points,42.441026,-83.285664,"location
(42.441026, -83.285664)"
3754 Tyler,14005337.,1400.00,02/13/2018,Closed,Selected,Homebuyer,Own It Now,7,Russell Woods,42.388207,-83.131185,"location
(42.388207, -83.131185)"
5234 Buckingham,21069731.,3200.00,10/21/2016,Closed,Selected,Homebuyer,Own It Now,4,Morningside,42.403243,-82.944953,"location
(42.403243, -82.944953)"
3335 Lothrop,12001210.,1000.00,05/29/2018,Closed,Selected,,Own It Now,5,Wildemere Park,42.358695,-83.108696,"location
(42.358695, -83.108696)"
18089 St Aubin,09016041-2,1000.00,03/01/2018,Closed,Selected,Homebuyer,Own It Now,3,Northeast Central District,42.426978,-83.081735,"location
(42.426978, -83.081735)"
1130 Burlingame,06003126.,1000.00,04/27/2018,Closed,Selected,Homebuyer,Own It Now,5,Gateway Community,42.388781,-83.097704,"location
(42.388781, -83.097704)"
13501 Anglin,09012290.,1000.00,08/11/2017,Closed,Selected,Homebuyer,,3,North Campau,42.413795,-83.070733,"location
(42.413795, -83.070733)"
18174 Hull,09019763.,1100.00,12/06/2017,Closed,Selected,Homebuyer,Own It Now,3,Hawthorne Park,42.42757,-83.088399,"location
(42.42757, -83.088399)"
19344 Hull,09019840.,1000.00,06/25/2018,Closed,Selected,,Own It Now,3,Nolan,42.43588,-83.088567,"location
(42.43588, -83.088567)"
20101 Hull,09019988.,1000.00,10/30/2017,Closed,Selected,Homebuyer,,3,Nolan,42.442499,-83.089339,"location
(42.442499, -83.089339)"
19139 Orleans,09018093.,1200.00,06/28/2018,Closed,Selected,,Own It Now,3,Nolan,42.433439,-83.085699,"location
(42.433439, -83.085699)"
20138 Russell,09020791-2,1300.00,08/09/2017,Closed,Selected,Investor,Own It Now,3,Nolan,42.442932,-83.090765,"location
(42.442932, -83.090765)"
20194 Russell,09020800.,1200.00,07/20/2017,Closed,Selected,Investor,Own It Now,3,Nolan,42.443724,-83.0908,"location
(42.443724, -83.0908)"
3275 Pasadena,12004725.,1300.00,07/13/2018,Closed,Selected,,Own It Now,7,Oakman Blvd Community,42.392636,-83.130214,"location
(42.392636, -83.130214)"
2918 Burlingame,12003404.,1000.00,07/12/2017,Closed,Selected,Homebuyer,Own It Now,5,Dexter-Linwood,42.381069,-83.117872,"location
(42.381069, -83.117872)"
3311 Tuxedo,12003524.,1500.00,10/11/2017,Closed,Selected,Homebuyer,Own It Now,5,Dexter-Linwood,42.380655,-83.122916,"location
(42.380655, -83.122916)"
18460 Gallagher,13023105.,1100.00,02/27/2018,Closed,Selected,,Own It Now,3,Conant Gardens,42.428169,-83.06939,"location
(42.428169, -83.06939)"
