Address,Parcel ID,Final Sale Price,Closing Date,Sale Status,Buyer Status,Purchaser Type,Program,Council District,Neighborhood,Latitude,Longitude,Location
211 Trowbridge,01003322.,100.00,02/04/2015,Closed,Selected,,Side Lot,5,Gateway Community,42.390861,-83.083073,"location
(42.390861, -83.083073)"
13828 Lumpkin,09015026.,100.00,02/20/2015,Closed,Selected,,Side Lot,3,North Campau,42.41337,-83.076434,"location
(42.41337, -83.076434)"
621 Melbourne,03002156.,100.00,05/28/2015,Closed,Selected,,Side Lot,5,North End,42.379546,-83.06963,"location
(42.379546, -83.06963)"
5974 Eastlawn,21053114.,100.00,02/20/2015,Closed,Selected,,Side Lot,4,Chandler Park,42.401959,-82.96667,"location
(42.401959, -82.96667)"
18135 Riopelle,09018860.,100.00,02/20/2015,Closed,Selected,,Side Lot,3,Hawthorne Park,42.427057,-83.086641,"location
(42.427057, -83.086641)"
9087 Plainview,22094669.,100.00,12/06/2014,Closed,Selected,,Side Lot,7,Franklin Park,42.360605,-83.235094,"location
(42.360605, -83.235094)"
16700 Evergreen,22095679.,100.00,08/26/2015,Closed,Selected,,Side Lot,1,North Rosedale Park,42.411668,-83.23759,"location
(42.411668, -83.23759)"
3815 Clippert,18010716.,100.00,12/06/2014,Closed,Selected,,Side Lot,6,Michigan-Martin,42.327502,-83.123146,"location
(42.327502, -83.123146)"
9116 W Lafayette,20002256.,100.00,12/06/2014,Closed,Selected,,Side Lot,6,Springwells,42.299612,-83.130248,"location
(42.299612, -83.130248)"
9124 W Lafayette,20002255.,100.00,01/20/2015,Closed,Selected,,Side Lot,6,Springwells,42.299575,-83.130347,"location
(42.299575, -83.130347)"
7625 Bryden,18013924.,100.00,01/26/2015,Closed,Selected,,Side Lot,6,Midwest,42.349284,-83.145363,"location
(42.349284, -83.145363)"
2821 Harrison,08006914.,100.00,12/06/2014,Closed,Selected,,Side Lot,6,North Corktown,42.336554,-83.073795,"location
(42.336554, -83.073795)"
2829 Harrison,08006913.,100.00,12/06/2014,Closed,Selected,,Side Lot,6,North Corktown,42.336632,-83.07384,"location
(42.336632, -83.07384)"
8841 Longworth,20002928.,100.00,12/06/2014,Closed,Selected,,Side Lot,6,Springwells,42.302512,-83.13097,"location
(42.302512, -83.13097)"
8273 Wisconsin,18015431.,100.00,12/06/2014,Closed,Selected,,Side Lot,7,Barton-McFarland,42.35526,-83.154511,"location
(42.35526, -83.154511)"
14131 Plainview,22094521.,100.00,01/10/2015,Closed,Selected,,Side Lot,1,Westwood Park,42.389169,-83.236092,"location
(42.389169, -83.236092)"
16592 Burgess,22112042.,100.00,01/26/2015,Closed,Selected,,Side Lot,1,Miller Grove,42.410796,-83.254523,"location
(42.410796, -83.254523)"
9347 Penrod,22078056.,100.00,04/13/2015,Closed,Selected,,Side Lot,7,Franklin Park,42.363921,-83.220638,"location
(42.363921, -83.220638)"
6339 Pilgrim,16007373.,100.00,01/10/2015,Closed,Selected,,Side Lot,2,Fitzgerald/Marygrove,42.407329,-83.14127,"location
(42.407329, -83.14127)"
6349 Pilgrim,16007375.,100.00,05/07/2015,Closed,Selected,,Side Lot,2,Fitzgerald/Marygrove,42.407327,-83.141493,"location
(42.407327, -83.141493)"
6345 Pilgrim,16007374.,100.00,08/12/2015,Closed,Selected,,Side Lot,2,Fitzgerald/Marygrove,42.407328,-83.141381,"location
(42.407328, -83.141381)"
18246 Kentfield,22100353.,100.00,01/10/2015,Closed,Selected,,Side Lot,1,Holcomb Community,42.423706,-83.241243,"location
(42.423706, -83.241243)"
12645 Kentfield,22100916.,100.00,01/10/2015,Closed,Selected,,Side Lot,1,Brightmoor,42.379997,-83.24003,"location
(42.379997, -83.24003)"
12636 Kentfield,22100013.,100.00,01/10/2015,Closed,Selected,,Side Lot,1,Brightmoor,42.379909,-83.239433,"location
(42.379909, -83.239433)"
12620 Kentfield,22100012.,100.00,01/10/2015,Closed,Selected,,Side Lot,1,Brightmoor,42.379816,-83.23943,"location
(42.379816, -83.23943)"
13840 Lumpkin,09015028.,100.00,02/20/2015,Closed,Selected,,Side Lot,3,North Campau,42.413517,-83.076534,"location
(42.413517, -83.076534)"
17611 Ohio,16034186.,100.00,03/03/2016,Closed,Selected,,Side Lot,2,Bagley,42.422188,-83.156508,"location
(42.422188, -83.156508)"
15115 Washburn,16039770.,100.00,02/20/2015,Closed,Selected,,Side Lot,2,Bethune Community,42.401869,-83.161018,"location
(42.401869, -83.161018)"
15109 Washburn,16039771.,100.00,02/20/2015,Closed,Selected,,Side Lot,2,Bethune Community,42.401808,-83.161015,"location
(42.401808, -83.161015)"
10363 Lanark,21068592.033,100.00,02/20/2015,Closed,Selected,,Side Lot,4,Moross-Morang,42.421509,-82.936021,"location
(42.421509, -82.936021)"
6763 Scotten,14009810.,100.00,03/25/2015,Closed,Selected,Homebuyer,Side Lot,5,Midwest,42.354833,-83.112718,"location
(42.354833, -83.112718)"
551 Chandler,03001994.,100.00,01/24/2015,Closed,Selected,,Side Lot,5,North End,42.376805,-83.069219,"location
(42.376805, -83.069219)"
760 W Euclid,04001979.,100.00,01/24/2015,Closed,Selected,,Side Lot,5,Piety Hill,42.375262,-83.083862,"location
(42.375262, -83.083862)"
