Address,Parcel ID,Contractor Name,Price,Projected Demolished By Date,Commercial Building,Council_District,Latitude,Longitude,Location,Neighborhood
6781 Drake,15003465.,Leadhead Construction,9898.00,10/23/2018,No,3,42.421228,-83.031867,"location
(42.421228, -83.031867)",Grant
4800 Newport,21053920.,Den-Man Contractors,36250.00,09/20/2018,No,4,42.39322,-82.959988,"location
(42.39322, -82.959988)",Fox Creek
5938 Eastlawn,21053109.,Leadhead Construction,17750.00,10/23/2018,No,4,42.401528,-82.966381,"location
(42.401528, -82.966381)",Chandler Park
5330 E Mcnichols,13007117.,DMC Consultants,36265.00,07/26/2018,No,3,42.418702,-83.04892,"location
(42.418702, -83.04892)",Davison
20302 Charleston,09025071-2,Leadhead Construction,10600.00,10/21/2018,No,3,42.443988,-83.106895,"location
(42.443988, -83.106895)",Nolan
2921 Hudson,12000860.,Blue Star,20115.00,09/26/2018,No,5,42.35141,-83.097619,"location
(42.35141, -83.097619)",NW Goldberg
9718 Cameron,05004347.,DMC Consultants,19883.00,09/16/2018,No,5,42.39172,-83.073977,"location
(42.39172, -83.073977)",North End
9195 Cameron,05004508.,DMC Consultants,18208.00,09/16/2018,No,5,42.387952,-83.072081,"location
(42.387952, -83.072081)",North End
20417 Keating,09023965.,Gayanga Co,10401.18,10/10/2018,No,3,42.444911,-83.100952,"location
(42.444911, -83.100952)",Nolan
15015 Muirland,12011935.,Blue Star,30602.00,09/26/2018,No,2,42.400971,-83.133466,"location
(42.400971, -83.133466)",Dexter-Fenkell
4437 18th St,10007833-4,Blue Star,17717.00,09/26/2018,No,6,42.344107,-83.089699,"location
(42.344107, -83.089699)",Core City
18024 Shields,13019125.,DMC Consultants,15210.00,09/16/2018,No,3,42.426424,-83.059183,"location
(42.426424, -83.059183)",Krainz Woods
4916 Bangor,14010445.,Blue Star,14088.00,09/26/2018,No,6,42.342946,-83.107759,"location
(42.342946, -83.107759)",Chadsey Condon
2008 Magnolia,08000992.,Blue Star,20757.00,09/26/2018,No,6,42.341602,-83.079478,"location
(42.341602, -83.079478)",Core City
18526 Wexford,13021505.,DMC Consultants,21787.00,09/16/2018,No,3,42.429028,-83.064897,"location
(42.429028, -83.064897)",Conant Gardens
2166 Scotten,14009548.,Blue Star,24753.00,09/26/2018,No,6,42.323587,-83.095479,"location
(42.323587, -83.095479)",Central Southwest
13276 Caldwell,13014163.,DMC Consultants,25459.00,09/04/2018,No,3,42.415093,-83.046355,"location
(42.415093, -83.046355)",Buffalo Charles
4652 PLUMER,16001246.,Blue Star,16266.00,09/26/2018,No,6,42.324137,-83.101939,"location
(42.324137, -83.101939)",Central Southwest
15702 Northlawn,16031805.,Blue Star,18637.00,09/26/2018,No,2,42.406307,-83.153222,"location
(42.406307, -83.153222)",Fitzgerald/Marygrove
15791 Fairfield,12012164.,Blue Star,32119.00,09/26/2018,No,2,42.407748,-83.134781,"location
(42.407748, -83.134781)",Pilgrim Village
3701 Charlevoix,13001084.,Gayanga Co,14015.00,10/22/2018,No,5,42.356953,-83.019693,"location
(42.356953, -83.019693)",McDougall-Hunt
4627 Hammond,16015706.,Blue Star,22299.00,09/26/2018,No,6,42.335428,-83.120831,"location
(42.335428, -83.120831)",Chadsey Condon
15868 Greenlawn,16029383.,Blue Star,17949.00,09/26/2018,No,2,42.408434,-83.15046,"location
(42.408434, -83.15046)",Fitzgerald/Marygrove
18270 Greydale,22015386.,Den-Man Contractors,11371.00,10/17/2018,No,1,42.422865,-83.256563,"location
(42.422865, -83.256563)",Holcomb Community
15236 Maddelein,21021385.,DMC Consultants,15117.00,09/04/2018,No,3,42.436083,-82.964642,"location
(42.436083, -82.964642)",Regent Park
15389 Meyers,22020348-9,Able Demolition,15532.34,08/23/2018,No,2,42.403886,-83.169809,"location
(42.403886, -83.169809)",Bethune Community
